text	sentiment	processed_text
Keith Richards means nothing to Monday night and is awful\u002c cant we all just forgive Hank Jr!?!	Negative	keith richards means nothing to monday night and is awful cant we all just forgive hank jr
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…	Negative	the candidates do not have to attack fox is doing it for them by stoping him from speaking 🇺 🇸 gopdebate …
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …	Negative	why does not chris wallace ask the other politicans about their finances and where their money comes from 🇺 🇸 gopdebate …
RT @ThatChrisGore: Ted Cruz's mutant superpower is fear-mongering. #TedCruz #TedCruz2016 #GOPDebate #GOPDebates	Negative	ted cruz is mutant superpower is fearmongering tedcruz tedcruz gopdebate gopdebates
@jdelreal Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube	Negative	who is the real illegal alien gopdebate farrakhan on immigration the mexican bor via
Also, my fucking iPod got stolen at snipes &amp; the only thing I can't let go of is the music. Take the 1st gen iPod, just want my Jamz back	Negative	also my fucking ipod got stolen at snipes the only thing i can not let go of is the music take the gen ipod just want my jamz back
Seeing videoclips back from the Rammstein concert in March.. now I feel sad. :(	Negative	seeing videoclips back from the rammstein concert in march now i feel sad
Rudd rains on Abbott\u2019s parade: KEVIN Rudd may be trying to spoil Julia Gillard\u2019s party but yesterday he gate-cra... http://t.co/h8wJi814	Negative	rudd rains on abbottu s parade kevin rudd may be trying to spoil julia gillardu s party but yesterday he gatecra
RT @ThePatriot143: Sure The Other GOP on Stage Looked Nice &amp; Polished But America is tired of the shining Rolls Royce w/NO Engine #GOPDebate	Negative	sure the other gop on stage looked nice polished but america is tired of the shining rolls royce wno engine gopdebate
RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates	Negative	men on stage discussing one woman gopdebates
They stopped at 10 because they couldn't fit any more in the clown car. #GOPDebate	Negative	they stopped at because they could not fit any more in the clown car gopdebate
@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend	Negative	the sun paolo di canio says beating aston villa tonight would be like having sex with madonna legend
This is great - let's have a bunch of rich entitled MEN make decisions about #PlannedParenthood #GOPDebates	Negative	this is great let us have a bunch of rich entitled men make decisions about plannedparenthood gopdebates
@sassygaycallie I'll share 1st. I don't care for c-Lud because of her weird crush on Justin and how sorority girl she comes across. Ur turn!	Negative	ill share i do not care for clud because of her weird crush on justin and how sorority girl she comes across your turn
RT @FreedomTexasMom: . @megynkelly nice attempt at provoking @realDonaldTrump to attack you instead of focusing on the issues. #epicFAIL #G…	Negative	nice attempt at provoking to attack you instead of focusing on the issues epicfail g …
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
Maybe my definition of winning a debate is different than most but Trump not answering questions or providing credible answers??  #GOPDebate	Negative	maybe my definition of winning a debate is different than most but trump not answering questions or providing credible answers gopdebate
Thank goodness for old quips, platitudes, slogans, and Obamacare in  #GOPDebate.  Without those, many questions would have had NO answers.	Negative	thank goodness for old quips platitudes slogans and obamacare in gopdebate without those many questions would have had no answers
Freedom isn't free...did Ben Carson just go all Team America on this shit? #GOPDebates	Negative	freedom is  freedid ben carson just go all team america on this shit gopdebates
Thankfully he\u2019s in Germany now. And comes home in January. Still dangerous though.	Negative	thankfully heu s in germany now and comes home in january still dangerous though
"RT @lamejess_: Dear GOP, say it with me, ""God is not relevant to politics. Religion has no place in gov't."" Thx so much that wasn't hard wa…"	Negative	dear gop say it with me god is  irrelevant to politics religion has no place in gov not thanks so much that was  soft wa …
RT @monaeltahawy: Paging the Donald: you can't beat Jamaica in soccer either #GOPDebates	Negative	paging the donald you can not beat jamaica in soccer either gopdebates
"RT @rumpfshaker: ""We have to make our country great again and I will do that!"" Donald Trump, who still can't quite explain HOW. #gopdebate"	Negative	we have to make our country great again and i will do that donald trump who still can not quite explain how gopdebate
So trans soldiers can die for you Huckabee but you can't foot the bill to make them fulfilled as human beings? Really? #GOPDebates	Negative	so trans soldiers can die for you huckabee but you can not foot the bill to make them fulfilled as human beings really gopdebates
Express bus to downtown Fort Lauderdale may be cut: It looks like the end of the road for express bus s... http://t.co/esitgJFLtE Google	Negative	express bus to downtown fort lauderdale may be cut it looks like the end of the road for express bus s google
RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, 🇺🇸 #GOPDebate  #G…	Negative	i think cruz and trump need to band together and expose this set up job and get rid of bush and rubio 🇺 🇸 gopdebate g …
"Shock of shocks, the posts about Bobby Jindal's birthright citizenship/""anchor baby"" status are bullshit (http://t.co/YFv7FEr9Z2) ..."	Negative	shock of shocks the posts about bobby jindal is birthright citizenshipanchor baby status are bullshit
@BernieSanders Not only are the Rs out of touch but so is @FoxNews  #GOPDebate #DebateWithBernie	Negative	not only are the rs out of touch but so is gopdebate debatewithbernie
RT @sethanikeem: @PhaedraBonewits #GOPDebate SPOILER ALERT: A rich, white guy tells the country how he's going to help other rich, white gu…	Negative	gopdebate spoiler alert a rich white guy tells the country how he is going to help other rich white gu …
RT @sbpdl: @megynkelly is horrible. Seriously. I hate @FoxNews more than any liberal alive today. #GOPDebate	Negative	is horrible seriously i hate more than any liberal alive today gopdebate
"@ESQPolitics ""Zygote Americans"" - the winingest takeaway of the winner of the #GOPDebate Thank you, Sir."	Negative	zygote americans the winingest takeaway of the winner of the gopdebate thank you sir
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …	Negative	why does not chris wallace ask the other politicans about their finances and where their money comes from 🇺 🇸 gopdebate …
"I've just been told for the 5th time that my case number ""will be escalated"" to a Level II tech by @MicrosoftHelps @Microsoft @Windows"	Negative	ive just been told for the time that my case number will be escalated to a level ii tech by
RT kayleymelissa: #GOPDebate is like the trial from The Unbreakable Kimmy Schmidt and Dona… http://t.co/jAqjwnndgB http://t.co/a2KOVJFhwp	Negative	kayleymelissa gopdebate is like the trial from the unbreakable kimmy schmidt and dona …
quite frankly, the most disturbing thing about last night's debate was having to look at the terrible adobo tinged tans. #GOPDebate	Negative	quite frankly the most disturbing thing about last night is debate was having to look at the terrible adobo tinged tans gopdebate
The perfect remedy for a #GOPDebate hangover is to #FF @s_cosgrove @rascality @DCdebbie @Satur9 @joanwalsh @RockyMntnMike @alikat747	Negative	the perfect remedy for a gopdebate hangover is to ff
#GOPDebates proved that Women in the US are more likely to be assaulted by men (verbally &amp; physically) than any kind of 'terrorist' attack.	Negative	gopdebates proved that women in the us are more likely to be assaulted by men verbally physically than any kind of terrorist attack
If Donald Trump can be elected, then so can the entire cast of Jersey Shore. #GOPDebate	Negative	if donald trump can be elected then so can the entire cast of jersey shore gopdebate
"@randpaul says he won't be ""bought and sold,"" but he will surrender to terrorists. #GOPDebate #tcot #paulforterror"	Negative	says he will not be bought and sold but he will surrender to terrorists gopdebate tcot paulforterror
"RT @kumailn: ""We have the military for a reason. To fuck shit up!!!"" #GOPDebate"	Negative	we have the military for a reason to fuck shit up gopdebate
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates	Negative	jeb bush reminds me of elevator music you hear it but you do not listen 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
"Spot on take on 2016 GOP field following #GOPDebate: ""not good for the party, but makes excellent TV"" http://t.co/xTRt1MbcL3 #iacaucus"	Negative	spot on take on gop field following gopdebate  bad for the party but makes excellent tv iacaucus
RT @RWSurferGirl: Rubio and Bush are a threat to this country, 🇺🇸 #GOPDebate  #GOPDebates	Negative	rubio and bush are a threat to this country 🇺 🇸 gopdebate gopdebates
Trump sez- Four, FOUR times I've taken advantage of the law, and as your prez, I'd be honored to do it again. #GOPDebates	Negative	trump sez four four times ive taken advantage of the law and as your prez id be honored to do it again gopdebates
@NariahCFC against barca pre season stand out player 1st half.. I dunno what's going on with us atm frustrating to see us lose	Negative	against barca pre season stand out player half i dunno what is going on with us at the moment frustrating to see us lose
RT @peoplefor: Here's what Mike Huckabee's anti-choice remarks from last night really mean: http://t.co/xcVekaU2bl #GOPdebate	Negative	here is what mike huckabee is antichoice remarks from last night really mean gopdebate
RT @monaeltahawy: I'll tell you the one good thing about #GOPDebates: candidates are tripping over themselves to outdo each other in sexism…	Negative	ill tell you the one good thing about gopdebates candidates are tripping over themselves to outdo each other in sexism …
Finally talking about race 100 min. In and CUT TO COMMERCIAL #BlackLivesMatter #GOPDebates #GOPDebacle	Negative	finally talking about race min in and cut to commercial blacklivesmatter gopdebates gopdebacle
My only #GOPdebate comment: They're unanimous re: defunding women's health care, &amp;  killing Iran nuclear deal - prefer a military solution.	Negative	my only gopdebate comment theyre unanimous re defunding women is health care killing iran nuclear deal prefer a military solution
RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…	Negative	it was unfathomable that would ask wassermanschultz to do a postmortem on the gopdebates surreal
RT @2DOPEANTIBHVR: so u want us to build a wall #GOPDebate	Negative	so u want us to build a wall gopdebate
Our left side is the weakness\u002c 1st game for Young after injury and Evra.. Well Evra is Evra.	Negative	our left side is the weakness game for young after injury and evra well evra is evra
Tomorrow, I have to present a 4 page short story to my class. What did I write about? Stealing Donald Trump's comb. #MakeAmericaGreatAgain	Negative	tomorrow i have to present a page short story to my class what did i write about stealing donald trump is comb makeamericagreatagain
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"	Negative	the purpose of the military is to kill people and break thingsmike huckabee gopdebates kkorgop
"RT @RedStateJake: I'd pay some serious $$$ to watch someone grill these 2 egomaniacal bullies in an interview. 

#GOPDebate #KellyFile http…"	Negative	id pay some serious to watch someone grill these egomaniacal bullies in an interview gopdebate kellyfile http …
RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸	Negative	is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates 🇺 🇸
@marcorubio  was a fail if u think he helped himself pls give me a cable show #gopdebates	Negative	was a fail if u think he helped himself please give me a cable show gopdebates
Cupid did so much work da 1st time that he don\u2019t wanna be my friend no more	Negative	cupid did so much work da time that he donu t wanna be my friend  less
Wow, Walker says that Russia/China probably know more about HRC's emails than Congress does. #GOPdebates	Negative	wow walker says that russiachina probably know more about hrc is emails than congress does gopdebates
#kasich just admitted having attended a same sex wedding.  That's the sound of his shot at the nomination circling the drain.  #gopdebates	Negative	kasich just admitted having attended a same sex wedding that is the sound of his shot at the nomination circling the drain gopdebates
"RT @412V70: Not mentioned in the #GOPdebate:
Voting rights
Climate change
Gun violence
Corrupt police
Student debt
Inequality
Money in Poli…"	Negative	not mentioned in the gopdebate voting rights climate change gun violence corrupt police student debt inequality money in poli …
RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…	Negative	the candidates do not have to attack fox is doing it for them by stoping him from speaking 🇺 🇸 gopdebate …
RT @BrandonLavy: @BenCarson is wrong. What makes America really great is not our unity but our respect of individuality. (1/1) #GOPDebate	Negative	is wrong what makes america really great is not our unity but our respect of individuality gopdebate
RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates	Negative	fox news is obviously trying to influence the makeup of the republican field 🇺 🇸 gopdebate gopdebates
#GOPDebate is that Voldemort under Donald Trump's toupee?	Negative	gopdebate is that voldemort under donald trump is toupee
@BenCarson2016 may have separated conjoined twins, but @realDonaldTrump created the duckface.  Why wouldn't he bring this up? #GOPDebate	Negative	may have separated conjoined twins but created the duckface why would not he bring this up gopdebate
RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates	Negative	jeb my father wasoh nevermind parenting is so overrated gopdebates bnrdebates
RT @goldietaylor: Oh, hell. Just take a drink. #GOPDebate #BNRDebates http://t.co/EbqT2lJMw4	Negative	oh hell just take a drink gopdebate bnrdebates
The world is changing too fast for them. #GOPDebate	Negative	the world is changing too fast for them gopdebate
Valor is official screwed tomorrow.. Audis and BMWs aren\u2019t good in the snow.... #ValorProblems #richkidproblems #letsgetoursecondcarsout	Negative	valor is official screwed tomorrow audis and bmws arenu t good in the snow valorproblems richkidproblems letsgetoursecondcarsout
RT @EthanObama: Did Trump just admit he gives money in return for business favors? #CitizensUnited #SCOTUS #gopdebates	Negative	did trump just admit he gives money in return for business favors citizensunited scotus gopdebates
RT @monaeltahawy: Can someone send this to #GOPDebates #BlackLivesMatter http://t.co/Jc9jhrrCPw	Negative	can someone send this to gopdebates blacklivesmatter
I don't like him. I'm not his friend. I'm not gonna call him by his nickname. It's John Bush not fucking Jeb Bush. #GOPDebates #enoughbush	Negative	i do not like him instant message not his friend instant message not gonna call him by his nickname it is john bush not fucking jeb bush gopdebates enoughbush
RT @mette_mariek: Here's a dog that looks like a panda. #GOPdebates http://t.co/x3qV5dhkVp	Negative	here is a dog that looks like a panda gopdebates
"Scariest man alive. Kendrick Perkins is close 2nd \""""@jemelehill Ray Lewis is probably the only human being ever not born with an indoor voice"	Negative	scariest man alive kendrick perkins is close ray lewis is probably the only human being ever not born with an indoor voice
"Great #GOPDebate but CAN WE TRUST YOU?
On ur website u claim u lost your daughter but you were the stepmom
@CarlyFiorina @FoxNews"	Negative	great gopdebate but can we trust you on your website u claim u lost your daughter but you were the stepmom
Well Dr Carson...did you just dance away any race issues in this country??? #GOPDebates #FOXNEWSDEBATE #Hillary2016	Negative	well dr carsondid you just dance away any race issues in this country gopdebates foxnewsdebate hillary
RT @monaeltahawy: One question on one of the most important and urgent movements in the US today &amp; for long time. One question. #GOPDebates…	Negative	one question on one of the most important and urgent movements in the us today for long time one question gopdebates …
RT @SpudLovr: #True Number of #Walker16 aides convicted of felonies higher than number of WI Voter Impersonation cases in past 30 yrs #wiun…	Negative	true number of walker aides convicted of felonies higher than number of wi voter impersonation cases in past yrs wiun …
Think we\u2019re going to struggle no end on Monday with no Colo\u002c Krul and Tiote. Those three are essential defensively #nufc #everton	Negative	think weu re going to struggle no end on monday with no colo krul and tiote those three are essential defensively nufc everton
RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9	Negative	huckabee gopdebates
RT @sabinazafar: #GOPDebate:10 men talking about planned parenthood. How many of them have given birth?@emilyslist @EmergeCA @CADemWomen #m…	Negative	gopdebate men talking about planned parenthood how many of them have given birth m …
#GOPDebates wow is this really a good question because it starts out as violent http://t.co/cUOuNn9pem	Negative	gopdebates wow is this really a good question because it starts out as violent
RT @JamiraBurley: #DonaldTrump lets be honest is a bully and a womanizer #GOPDebate	Negative	donaldtrump lets be honest is a bully and a womanizer gopdebate
RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates	Negative	jeb bush reminds me of elevator music you hear it but you do not listen 🇺 🇸 gopdebate gopdebates
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates	Negative	we the american people pick the next president of united states  fox news 🇺 🇸 gopdebate gopdebates
RT @WendyLiebman: I watched the #GOPDebate with the Benny Hill theme song playing.	Negative	i watched the gopdebate with the benny hill theme song playing
These politicians and former government employees really hate politicians and government. #GOPdebates	Negative	these politicians and former government employees really hate politicians and government gopdebates
@MattMackowiak @stephenfhayes Megyn is definitely not a bimbo, but she was not up to @FoxNews standards last night #GOPDebate	Negative	megyn is definitely not a bimbo but she was not up to standards last night gopdebate
RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates	Negative	tonight we learned that thinks he can remove our civil rights to fight terrorism gopdebate gopdebates
Ok goodbye #GOPdebates time for #JonVoyage	Negative	ok goodbye gopdebates time for jonvoyage
"RT @monaeltahawy: Women should start protesting #GOPDebates misogyny with ""Stay out of my vagina unless I want you in there!"" placards. (I …"	Negative	women should start protesting gopdebates misogyny with stay out of my vagina unless i want you in there placards i …
Donald Trump is that kid that runs for 7th grade student council that says he'll give everyone a day off from school as if he has authority	Negative	donald trump is that kid that runs for grade student council that says hell give everyone a day off from school as if he has authority
